name;caption;brand;valume;description;precautionary;composition;price;category;image
Sesame;100% органическое  кунжутное масло;Branishtov;100 мл.;"В косметической практике кунжутное масло применяется для ухода за кожей всех типов (особенно сухого и смешанного типа), чувствительной, поврежденной, увядающей, шелушащейся, в том числе кожей лица и век; уход за волосами, для придания им гладкости, а так же для укрепления корней, предохранения от выпадения, при обесцвечивании, поседении. Кунжутное масло является полувысыхающим маслом; устойчиво к прогорканию, обладает высокой биологической активностью, благодаря содержанию естественных антиоксидантов (витамин E, сезамол, сезамолин), оказывает омолаживающее действие и замедляет процессы старения.";Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное кунжутное масло.;400,00 ₽;based oil;branishtov_9.jpg
Macadamia;100% органическое  масло макадамии;Branishtov;100 мл.;"В косметической практике масло макадамии используется для ухода за любым типом кожи, особенно сухой, поврежденной, увядающей, стареющей, при образовании морщин; неблагоприятные воздействия окружающей среды (для защиты рук и лица от мороза, обветривания, обморожения, растрескивания). Масло макадамии легко и быстро впитывается, делая кожу упругой и эластичной.";Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло макадамии.;400,00 ₽;based oil;branishtov_4.jpg
Avocado;100% органическое  масло авокадо;Branishtov;100 мл.;Масло авокадо хорошо проникает в глубь тканей, оно бесценно для ухода за сухой и нормальной кожей, а также чувствительной, поврежденной, обезвоженной, зрелой, увядающей, стареющей, в том числе кожей лица. Полезно при экземах и для залечивания ран. Подходит для ухода за ослабленными и проблемными волосами, поврежденными химической завивкой и окраской. Полезно при экземах и для залечивания ран. Масло густое и вязкое, обычно добавляется в смеси разбавленным в соотношении 1:10 или более. Конечно, можно использовать масло и более высокой концентрации для кожи лица или для сухой и поврежденной кожи.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло авокадо.;400,00 ₽;based oil;branishtov_5.jpg
Wheat germ;100% органическое  масло зародышей пшеницы;Branishtov;100 мл.;Благодаря своим очищающим, противовоспалительным, ранозаживляющим свойствам данное базовое масло также может применяться и при порезах, бытовых травмах и ожогах, для устранения потертостей и разглаживания огрубелых участков кожи. Активно оказывает антицеллюлитное воздействие и предупреждает образование растяжек во время беременности или при интенсивном наборе веса.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло зародышей пшеницы.;400,00 ₽;based oil;branishtov_6.jpg
Hemp;100% органическое  конопляное масло;Branishtov;100 мл.;Высокий уровень антиоксидантов конопляного масла способствует профилактике преждевременного старения кожи, укрепляет иммунитет. А хлорофилл в составе этого продукта обладает противоопухолевыми характеристиками, оказывает общеукрепляющее действие на организм.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;натуральное масло конопляное.;400,00 ₽;based oil;branishtov_8.jpg
Lemongrass;обладает сильным антицеллюлитным эффектом;Branishtov;100 мл.;Масло можно использовать для массажа и для ухода за телом. В состав входит эфирное масло лемонграсса, которое обладает тонизирующими, бактерицидными и ранозаживляющими свойствами. Лемонграсс также очень популярен в ароматерапии. Этот аромат снимает головную боль, помогает восстановить внутренние ресурсы и работает как афродизиак.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;смесь натуральных масел (Vitus Vinifera Seed Oil, Prunus Amygdalus Seed Oil, Olea Europaea Seed Oil, Macadamia Integrifolia Seed Oil), Cymbopogon flexuosus Essential Oil.;450,00 ₽;body oil;branishtov_42.jpg
Mango;разглаживает и питает;Branishtov;100 мл.;Масло можно использовать для массажа и ухода за телом.  В состав входит витамин Е. Он питает и подтягивает кожу, устраняет шелушение. А масла способствуют его лучшему проникновению. Манго - солнечный тропический аромат. Он помогает справляться со стрессом и повышает уверенность в себе.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;смесь натуральных масел (Vitus Vinifera Seed Oil, Prunus Amygdalus Seed Oil, Olea Europaea Seed Oil, Macadamia Integrifolia Seed Oil), Perfume, Tocopheryl Acetate (Vitamin E).;450,00 ₽;body oil;branishtov_43.jpg
Lavender;способствует регенерации и омоложению кожи;Branishtov;100 мл.;Масло можно использовать для массажа и ухода за телом. В состав входит эфирное масло лаванды. Оно успокаивает раздраженную кожу, ускоряет регенерацию, омолаживает и обладает антибактериальными свойствами. Аромат лаванды улучшает настроение и помогает справляться со стрессом.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;смесь натуральных масел (Vitus Vinifera Seed Oil, Prunus Amygdalus Seed Oil, Olea Europaea Seed Oil, Macadamia Integrifolia Seed Oil), Lavandula angustifolia Essential Oil.;450,00 ₽;body oil;branishtov_44.jpg
Watermelon;интенсивное увлажнение ровный тон кожи;Branishtov;100 мл.;Масло можно использовать для массажа и для ухода за телом. В состав входит витамин Е. Он делает кожу здоровой, предотвращает появление пигментных пятен и ускоряет выработку коллагена. Аромат арбуза помогает справляться с депрессией, освежает и бодрит.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;смесь натуральных масел (Vitus Vinifera Seed Oil, Prunus Amygdalus Seed Oil, Olea Europaea Seed Oil, Macadamia Integrifolia Seed Oil), Perfume, Tocopheryl Acetate (Vitamin E).;450,00 ₽;body oil;branishtov_45.jpg
Geisha secret;нормализует жирность кожи;Branishtov;100 мл.;Масло можно использовать для массажа и для ухода за телом. Витамин Е, входящий в состав, нормализует жирность кожи и помогает клеткам обновляться. Масло «Секрет гейши» обладает сложным пряным ароматом, в котором чувствуются нотки корицы.;Избегайте попадания в глаза. В случае появления индивидуальной непереносимости прекратите применение. Хранить в тёмном месте при t° от 0° C до 20° C.;смесь натуральных масел (Vitus Vinifera Seed Oil, Prunus Amygdalus Seed Oil, Olea Europaea Seed Oil, Macadamia Integrifolia Seed Oil), Perfume, Tocopheryl Acetate (Vitamin E).;450,00 ₽;body oil;branishtov_46.jpg
